Train,Paris,Sens Arrive,Sens Depart,Joigny Arrive,Joigny Depart,Laroche Migennes Arrive,Laroche Migennes Depart,St Florentin Vergigny Arrive,St Florentin Vergigny Depart,Tonnerre Arrive,Tonnerre Depart,Nuits Sous Ravieres Arrive,Nuits Sous Ravieres Depart,Montbard Arrive,Montbard Depart,Les Laumes Alesia Arrive,Les Laumes Alesia Depart,Le Creusot - Montceau Arrive,Le Creusot - Montceau Depart,Dijon Ville Arrive,Dijon Ville Depart,Beaune Arrive,Beaune Depart,Chagny Arrive,Chagny Depart,Chalon Sur Saone Arrive,Chalon Sur Saone Depart,Tournus Arrive,Tournus Depart,Macon Ville Arrive,Macon Ville Depart,Belleville Sur Saone Arrive,Belleville Sur Saone Depart,Villefranche Sur Saone Arrive,Villefranche Sur Saone Depart,St Germain Au Mont D'or Arrive,St Germain Au Mont D'or Depart,Lyon
Distances,0,110,110,135,135,160,160,170,170,190,190,224,224,240,240,258,258,274,274,310,310,351,351,362,362,381,381,410,410,437,437,462,462,477,477,491,491,510
TER,18:24,17:29,17:28,17:12,17:11,17:00,16:59,16:49,16:48,16:36,16:35,16:20,16:19,16:09,16:08,16:00,15:59,,,15:31,15:19,15:00,14:58,14:49,14:48,14:39,14:37,14:23,14:21,14:06,14:04,13:52,13:51,13:43,13:40,13:32,13:31,13:16
TGV,16:08,,,,,,,,,,,,,,,,,14:50,14:47,,,,,,,,,,,,,,,,,,,14:04
TGV,17:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:04
TER,20:24,19:29,19:28,19:12,19:11,19:01,19:00,18:49,18:48,18:36,18:35,18:20,18:19,18:09,18:08,18:00,17:59,,,17:31,17:19,17:00,16:58,16:49,16:48,16:39,16:37,16:23,16:21,16:06,16:04,15:52,15:51,15:43,15:40,15:32,15:31,15:16
TGV,18:08,,,,,,,,,,,,,,,,,16:48,16:45,,,,,,,,,,,,,,,,,,,16:04
TGV,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:34
TGV,19:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:32,17:29,,,,,,,17:04
TER,22:24,21:27,21:26,21:10,21:09,20:59,20:58,20:48,20:47,20:34,20:33,20:19,20:18,20:09,20:07,19:59,19:58,,,19:31,19:19,19:00,18:58,18:49,18:48,18:39,18:37,18:23,18:21,18:05,18:03,17:51,17:50,17:43,17:40,17:32,17:31,17:16
TGV,19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:34
TGV,20:08,,,,,,,,,,,,,,,,,18:46,18:43,,,,,,,,,,,,,,,,,,,18:04
TGV,20:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:38
TGV,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:04
TGV,22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:34
TGV,23:08,,,,,,,,,,,,,,,,,21:46,21:43,,,,,,,,,,,,,,,,,,,21:04
